geneset_name	geneset_genes	geneset_size
GO_RESPONSE_TO_BMP	ACVR1,ACVR2A,ACVR2B,ACVRL1,ADAMTS12,ADAMTS7,BMP1,BMP10,BMP15,BMP2,BMP3,BMP4,BMP5,BMP6,BMP7,BMP8A,BMP8B,BMPR1A,BMPR1B,BMPR2,C10orf54,CER1,CHRD,CHRDL1,COL2A1,DLX5,DSG4,EGR1,ENG,ETV2,FAM83G,FGF8,FN1,FSTL1,GATA3,GATA5,GATA6,GDF1,GDF10,GDF2,GDF6,GDF7,GDF9,GREM2,HEYL,HFE,HFE2,ID1,KCND3,LEF1,LRP4,MAPK3,MEGF8,MSX1,MSX2,MYH6,NKX2-5,NODAL,NOG,PHOX2B,POU5F1,RGMA,RGMB,ROR2,RUNX2,RYR2,SCXB,SFRP1,SKI,SLC33A1,SLC39A5,SMAD1,SMAD4,SMAD5,SMAD6,SMAD7,SMAD9,SMURF1,SMURF2,SPINT1,T,TGFBR3,TMEM100,TNMD,TWSG1,UBE2D1,UBE2D3,USP15,USP9X,USP9Y,ZCCHC12,ZCCHC18,ZFYVE16,ZNF8	94
GO_RESPONSE_TO_CADMIUM_ION	AKR1C3,ALAD,ARG1,B2M,BDH1,CAT,CDK1,CDK2,CDKN1B,CTNNB1,CYB5A,CYP1A2,DTYMK,ECE1,GPAM,GSN,GSS,HAAO,HMOX1,MAPK9,MT1A,MT1E,MT1F,MT1G,MT1H,MT1X,MT3,MTF1,NPC1,OGG1,PCNA,PPP5C,PRNP,PTH,SLC30A1,SLC34A1,SOD1,SORD,SPARC,STAR	40
GO_RESPONSE_TO_CAFFEINE	CAD,CASQ2,DHODH,DNMT1,DNMT3B,GSTM2,HDAC2,IGF1,IL6,PPARG,PPARGC1A,PRKAA1,RYR1,RYR2,RYR3,SDC2,SEPN1,SLC8A1	18
GO_RESPONSE_TO_CALCIUM_ION	AANAT,ACER1,ADAM9,ADCY1,AHCYL1,AKR1C3,ALG2,ALOX15,ALOX5AP,ALS2CR8,ANXA11,ANXA5,ANXA7,APOBEC1,AQP3,ASPH,BAD,BRAF,CALM1,CALM2,CALM3,CAMK2D,CAPN3,CASQ2,CASR,CAV1,CCND1,CHP2,CLIC4,CPNE1,CPNE2,CPNE3,CPNE6,CPNE7,CRHBP,D2HGDH,DPEP1,DUSP1,ECT2,EDN1,EEF2K,ENDOG,ENTPD6,EP300,EPB49,FGA,FGB,FGG,FOS,FOSB,FUS,GDI1,GIPR,GPLD1,GRIN1,GUCA1A,HNRNPD,HOMER1,IL6,IQGAP1,ITPKB,ITPR3,JUN,JUNB,JUND,KCNH1,KCNIP2,KCNMA1,KCNMB1,KCNMB2,KCNMB3,KCNMB4,LCE1D,LIPC,MEF2A,MEF2C,MNAT1,NEDD4,NEUROD2,P2RX7,PDCD6,PEF1,PENK,PLA2G4A,PPIF,PPP3CA,PTGES,PTK2B,RASA4,RASGRP2,RYR2,RYR3,S100A16,SCN5A,SDC1,SEC31A,SLC25A12,SLC25A13,SLC25A23,SLC25A24,SLC6A1,SPAG16,SPARC,STIM1,SYT1,SYT3,THBS1,TNNT2,TPH2,TRPC1,TRPC3,TSHB,TTN,TXNIP,WNT5A	115
GO_RESPONSE_TO_CAMP	AANAT,ADIPOQ,AGXT,AKAP1,AKAP6,AKAP7,AKAP9,ALDH3A1,ALDOB,APEX1,APP,AQP1,AQP8,AQP9,AREG,ASS1,ATP7B,BIRC2,BRAF,BSG,CARM1,CDK2,CDO1,CFTR,CITED1,CNGA3,COL1A1,CPS1,CREM,CRHBP,CYP17A1,DUOX1,DUOX2,DUSP1,EEF2K,EP300,EPB49,EZR,FOS,FOSB,FOSL1,FOXM1,GPD1,HCN1,HCN2,HCN3,HCN4,HMGCS2,HNF4A,IGFBP5,INPP5K,ITPR2,ITPR3,JUN,JUNB,JUND,KCNE1,KCNQ1,LDHA,MMP19,NDUFS4,NME1,NOX4,OXT,PAX4,PDE3A,PDE4D,PENK,PER1,PFKFB1,PIK3CG,PKLR,PLA2G5,PPARGC1B,PTAFR,PTK2B,PTPRN,PYGM,RAP1A,RAP1B,RAPGEF1,RAPGEF2,RAPGEF3,RELA,REN,SDC1,SLC26A3,SLC26A6,SLC5A5,SLC6A3,SLC8A1,SLC8A3,SPARC,SRD5A1,SREBF1,STAR,STAT1,STC1,TEK,THBD,TYR,VGF,WNT10B,WT1	104
GO_RESPONSE_TO_CARBOHYDRATE	AACS,ACP5,ACVR1C,ACVR2B,ADIPOQ,ADNP,AGER,ALDOB,ANGPT2,APOA2,APOB,APOC3,APOM,BAD,C10orf2,CALCRL,CASP3,CAT,CDKN1B,CLEC7A,CMA1,COL6A2,COLEC12,CPB2,CTGF,CTSB,CTSL2,CTSV,CYBA,CYP7A1,EGR1,EIF2B1,EIF2B2,EIF2B3,EIF2B4,EIF2B5,ENDOG,ENSA,EP300,ERCC1,ERN1,FAS,FGF21,FKBP1B,FN1,GAS6,GATA4,GCK,GCKR,GFPT1,GHRHR,GIP,GIPR,GJA1,GJB6,GJD3,GLUL,GNB2L1,GPAM,GPER,GPLD1,GRIK5,GSTP1,GYS2,HIF1A,HMBS,HMGCS2,HNF1B,HNF4A,HNRNPK,ICAM1,IL1B,IL1R1,ILDR2,IRS2,ITGA2,KCNB1,KCNJ11,KHK,LCT,LDHA,LEP,LGALS1,LIPC,LPL,LYN,MAFA,MAP2K6,MAP2K7,MAPK14,MDM2,ME1,MEN1,MLXIPL,NEUROD1,NFKB1,NKX2-2,NKX6-1,NME1,NOX4,NR0B2,NR1H4,OGT,OXT,P2RX2,P2RX3,PAX2,PDK3,PDX1,PFKFB2,PFKL,PIK3CA,PKLR,PLAU,POLG,PPARD,PPARGC1A,PPP1R15A,PPP3CA,PRKACA,PRKCB,PRKCQ,PRLH,PTEN,PTGER4,PTGS2,PTK2B,PTPRN,PTPRN2,RAB11B,RAB11FIP2,RAB11FIP5,RAF1,RAP1A,RAP1BL,RMI1,RPS6KA2,RPS6KB1,SARM1,SELS,SERPINF1,SESN2,SIDT2,SIN3A,SLC26A6,SLC29A1,SLC2A2,SLC2A5,SLC30A8,SLC6A1,SLC8A1,SMAD2,SOX4,SPARC,SREBF1,SRF,STAR,TCF7L2,TGFB1,TGFBR2,TH,THBS1,TRH,TXN2,TXNIP,UCP2,VAMP2,XBP1,ZNF236	169
GO_RESPONSE_TO_COBALT_ION	ALAD,ATF1,BNIP3,C12orf5,CASP3,CASP8,CASP9,D2HGDH,EP300,FAS,HIF1A,HMBS,SERPINF1	13
GO_RESPONSE_TO_COCAINE	ABAT,BAX,CCNA2,CDK5,CHRNB2,CNR1,CRH,CRHBP,DNM2,DNMT3A,DNMT3B,DPYSL2,DRD1,DRD2,DRD3,DRD4,DRD5,EFTUD2,HDAC2,HDAC5,HNMT,HOMER1,HTR1B,HTR2A,HTR3A,LPHN3,MBD1,MDM2,MTOR,NEFH,NOS1,NTS,OPRK1,OPRM1,OXT,OXTR,PPP1R15A,PTK2B,SDK1,SLC18A2,SLC6A1,SLC6A3,SMPD1,SNCA,TACR3,TIAM1	46
GO_RESPONSE_TO_COLD	ACOT11,ADM,ADRB1,ADRB2,ADRB3,ATP2B1,CASP8,CDH8,CIRBP,CSDA,CXCL10,DNAJC3,EIF2AK3,EIF2AK4,FAM154A,FOS,FOXO1,GK,GMPR,HSP90AA1,HSPA2,HSPD1,IL6,IMPDH1,LPL,LRP11,METRNL,NFKBIA,P2RX3,PCSK1N,PLAC8,PPARG,PPARGC1A,PRKAA1,RNF34,SLC27A1,THRA,TRH,TRPA1,TRPM8,UCP3,VGF,ZNF516	43
GO_RESPONSE_TO_COPPER_ION	AANAT,ABP1,ALDOB,AQP1,AQP2,ATP5D,ATP7A,ATP7B,BAX,CDK1,CP,ICAM1,IL1A,LCAT,LIPC,LOXL2,MT1G,NFKB1,PAM,PARK7,PRNP,S100A13,SNCA,SOD1,SOD3,SORD,TFRC,TK1	28
GO_RESPONSE_TO_CORTICOSTEROID	AANAT,ABCA3,ABCG2,ACADS,ACSBG1,ACVR1,ADAM9,ADCYAP1,ADIPOQ,ADM,ADRB2,AGL,AGTR2,AGXT,AHR,AIF1,AIFM1,AKR1C3,ALAD,ALDH3A1,ALDOB,ALPL,ANXA1,ANXA3,APOA2,AQP1,AREG,ARG1,ASS1,ATP2B1,AVPR1A,BAD,BAX,BCHE,BCL2,BDH1,BGLAP,BMP4,BMP6,C3,CAD,CALCR,CALM1,CALM2,CALM3,CASP3,CASP9,CAV1,CBX3,CCKAR,CCL1,CCL2,CCL5,CCND1,CCNE1,CDKN1A,CDO1,CNGA3,COL1A1,CPN1,CPS1,CRH,CRHR2,CTGF,CTSL2,CTSV,DNMT3B,DUSP1,EDN1,EP300,ERRFI1,ESR2,FAS,FBXO32,FECH,FLT3,FN1,FOS,FOSB,FOSL1,FOXO1,GBA,GHRHR,GNRH1,GOT1,GPER,GPR83,GSTP1,HEY1,HIF1A,HMBS,HMGB1,HMGCS2,HNMT,HNRNPU,HSD11B2,HTR1B,IFNB1,IGF1,IGFBP2,IL10,IL17A,IL1B,IL1RN,IL22,IL6,INSR,ISL1,JUNB,KLF9,KRAS,LCAT,LIPC,MAOB,MDK,MSTN,MYOD1,NEFL,NOTCH1,NPAS4,NR3C1,NTRK3,NTS,OXT,PAM,PDCD7,PDX1,PFKFB1,PLA2G4A,PPARGC1B,PTAFR,PTGDS,PTGS1,PTGS2,PTPRU,RAN,REST,RPS6KB1,RXRA,S100B,SCGB1A1,SDC1,SERPINF1,SGK1,SHC1,SLC18A2,SLC9A3,SLIT2,SLIT3,SMYD3,SOCS3,SOX30,SPARC,SRC,SRD5A1,SSTR2,SSTR3,SSTR4,SSTR5,STAR,STC1,TAT,TFAP4,TGFB1,TH,TK1,TNF,TPH2,TRH,TRIM63,TYMS,UBE2L3,UCN,UCN2,UCP3,UGT1A1,WNT5A	177
GO_RESPONSE_TO_CORTICOSTERONE	AANAT,ATP2B1,AVPR1A,BAX,BDH1,CALM1,CALM2,CALM3,CCND1,CCNE1,CDKN1A,CRH,FOS,FOSB,FOSL1,JUNB,MAOB,NEFL,NPAS4,NTRK3,NTS,PTGS1,SLC18A2,STAR,TH,TRH	26
GO_RESPONSE_TO_CYTOKINE	AANAT,ACP5,ACSL1,ACSL4,ADAM10,ADAM17,ADAM9,ADAMTS12,ADAMTS13,ADAMTS7,ADAR,ADIPOQ,ADIPOR1,ADIPOR2,AES,AFF3,AIF1,AIM2,AKAP6,AKT1,ALAD,ALDH1A2,ALDOB,ALOX15,ANKRD1,ANXA1,APOB,AQP4,ARG1,ARHGEF2,ASPN,ASS1,AVPR2,AXL,B2M,BAD,BAG4,BBS2,BBS4,BCL2,BCL2L1,BGN,BIRC2,BIRC3,BRCA1,BST2,BYSL,C16orf5,C19orf29,C19orf66,C20orf123,CALCA,CALCOCO2,CAMK2A,CAMK2B,CAMK2D,CAMK2G,CARD14,CASP3,CASP8,CCBP2,CCL1,CCL11,CCL13,CCL14,CCL15,CCL16,CCL17,CCL18,CCL19,CCL2,CCL20,CCL21,CCL22,CCL23,CCL24,CCL25,CCL26,CCL3,CCL3L1,CCL3L3,CCL4,CCL4L2,CCL5,CCL7,CCL8,CCNE1,CCR1,CCR10,CCR2,CCR3,CCR4,CCR5,CCR6,CCR7,CCR8,CCR9,CCRL1,CCRL2,CD14,CD27,CD274,CD38,CD40,CD40LG,CD44,CD58,CD70,CD74,CD86,CDC34,CDC5L,CDK9,CEBPA,CEBPB,CHAD,CHI3L1,CHUK,CIB1,CIITA,CISH,CITED1,CLCF1,CLDN18,CMKLR1,CNTF,CNTFR,COL1A1,COL3A1,COMMD7,CORO1A,CREBBP,CRHBP,CSDA,CSF1,CSF1R,CSF2RA,CSF2RB,CSF3,CSF3R,CSNK2B,CTNNB1,CTR9,CTSB,CX3CL1,CX3CR1,CXCL1,CXCL10,CXCL11,CXCL12,CXCL13,CXCL16,CXCL2,CXCL3,CXCL5,CXCL6,CXCL8,CXCL9,CXCR1,CXCR2,CXCR3,CXCR4,CXCR5,CXCR6,CXCR7,CYBA,CYP17A1,CYP27B1,DAB2IP,DAPK1,DAPK3,DARC,DAXX,DCN,DDOST,DDX41,DNAJA3,DPYSL3,DUOX1,DUOX2,EBI3,EDA,EDA2R,EDAR,EDARADD,EDN1,EDN2,EGR1,EIF2AK2,ENDOG,ENTPD2,EP300,EPO,EPOR,EPRS,ERBB2IP,EREG,ETS1,ETV3,F3,FAS,FASN,FCGR1A,FCGR1B,FER,FGA,FGB,FGF23,FIGF,FLRT1,FLRT2,FLRT3,FLT3,FN1,FNTB,FOS,FOSL1,FOXA2,FOXF1,FOXO3,GAB1,GAPDH,GAS6,GATA3,GBA,GBP1,GBP2,GBP5,GBP6,GCH1,GHR,GNAO1,GP1BA,GPD1,GPER,GPR17,GPR75,GREM2,GSK3A,GSK3B,GSS,HAS2,HAX1,HCK,HCLS1,HDAC4,HIF1A,HLA-A,HLA-B,HLA-C,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DQB2,HLA-DRA,HLA-DRB1,HLA-DRB3,HLA-DRB4,HLA-DRB5,HLA-E,HLA-F,HLA-G,HLA-H,HMBS,HNMT,HSP90AB1,HSPA5,HSPA9,HTRA2,HYAL1,HYAL2,HYAL3,ICAM1,IFI27,IFI30,IFI35,IFI6,IFIT1,IFIT2,IFIT3,IFITM1,IFITM2,IFITM3,IFNA1,IFNA10,IFNA13,IFNA14,IFNA16,IFNA17,IFNA2,IFNA21,IFNA4,IFNA5,IFNA6,IFNA7,IFNA8,IFNAR1,IFNAR2,IFNB1,IFNE,IFNG,IFNGR1,IFNGR2,IFNK,IFNLR1,IFNW1,IGBP1,IKBKB,IKBKE,IL10RA,IL10RB,IL11RA,IL12B,IL12RB1,IL12RB2,IL13,IL13RA1,IL13RA2,IL15RA,IL17A,IL17RA,IL17RB,IL17RC,IL17RD,IL17RE,IL17REL,IL18BP,IL18R1,IL18RAP,IL1A,IL1B,IL1F10,IL1R1,IL1R2,IL1RAP,IL1RAPL2,IL1RL1,IL1RL2,IL20RA,IL20RB,IL21R,IL22RA1,IL22RA2,IL23R,IL24,IL27RA,IL28RA,IL2RA,IL2RB,IL2RG,IL3,IL31RA,IL36A,IL36B,IL36G,IL37,IL3RA,IL4,IL4R,IL5,IL5RA,IL6,IL6R,IL6ST,IL7R,IL8,IL9R,IMPDH2,INPP5K,INSR,IP6K2,IRAK1,IRAK2,IRAK3,IRAK4,IRF1,IRF2,IRF3,IRF4,IRF5,IRF6,IRF7,IRF8,IRF9,IRG1,ISG15,ISG20,ITGA4,ITIH4,JAGN1,JAK1,JAK2,JAK3,JUN,JUNB,JUND,KAT2A,KCNJ11,KEAP1,KIT,KLF2,KLHL20,KRAS,KRT18,KRT8,KYNU,LAMP3,LEF1,LEP,LEPR,LGALS9,LIFR,LRP8,LRRC15,LRRC19,LRRC4,LRRC4B,LRRC4C,LRRC66,LRRTM1,LRRTM3,LRRTM4,LRTM1,LTA,LTB,LTBR,MAP2K7,MAP3K14,MAP4K3,MAPK1,MAPK3,MAPK9,MAPKAPK2,MAPKAPK3,MBP,MCL1,MCM2,MEFV,MID1,MKKS,MME,MPL,MRC1,MST1R,MT1X,MT2A,MT3,MTHFR,MX1,MX2,MYD88,MYLK3,NCAM1,NDUFA13,NFE2L2,NFIL3,NFKB1,NFKB2,NFKBIA,NGFR,NKX3-1,NKX6-1,NLRP12,NOS2,NPNT,NPR2,NTRK2,NUB1,NUMBL,NYX,OAS1,OAS2,OAS3,OASL,OSM,OSMR,OTUB1,OXTR,P2RY2,PAWR,PDE1B,PDE2A,PDX1,PF4,PF4V1,PGGT1B,PHB,PID1,PLA2G5,PLCB1,PLP2,PLSCR1,PLVAP,PML,PNPT1,PODN,PODNL1,POSTN,PPARGC1A,PPBP,PPP3CB,PPP4C,PRKCA,PRKCD,PRKCI,PRLR,PRPF8,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMA8,PSMB1,PSMB10,PSMB11,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB7,PSMB8,PSMB9,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD1,PSMD10,PSMD11,PSMD12,PSMD13,PSMD14,PSMD2,PSMD3,PSMD4,PSMD5,PSMD6,PSMD7,PSMD8,PSMD9,PSME1,PSME2,PSME3,PSME4,PSMF1,PTAFR,PTGER3,PTGER4,PTGES,PTGIS,PTGS2,PTK2B,PTPRN,PYCARD,PYDC1,RARA,RBMX,RC3H1,REL,RELA,RELB,RELT,RIPK1,RIPK2,RNASEL,RORA,RPL13A,RPL3,RPS27A,RPS6KA4,RPS6KA5,RPS6KB1,RQCD1,RSAD2,RTN4R,RTN4RL1,RTN4RL2,SAMHD1,SBNO2,SCGB1A1,SEC61A1,SELE,SELPLG,SFRP1,SHMT2,SHPK,SIRT1,SKIL,SLC11A1,SLC26A6,SLC27A1,SLC30A8,SMAD4,SMPD4,SNCA,SOCS1,SOCS2,SOCS3,SOCS4,SOCS5,SOCS6,SOCS7,SOX9,SP100,SPARC,SPHK1,SRC,SRF,ST3GAL6,STAR,STAT1,STAT2,STAT3,STAT5A,STAT5B,STAT6,SYNCRIP,TAF9,TCF7,TDGF1,THPO,TICAM2,TIMP1,TIMP2,TIMP4,TJP2,TLR3,TM7SF4,TMEM102,TMEM173,TNF,TNFRSF10A,TNFRSF10B,TNFRSF10C,TNFRSF10D,TNFRSF11A,TNFRSF11B,TNFRSF12A,TNFRSF13B,TNFRSF13C,TNFRSF14,TNFRSF17,TNFRSF18,TNFRSF19,TNFRSF1A,TNFRSF1B,TNFRSF21,TNFRSF25,TNFRSF4,TNFRSF6B,TNFRSF8,TNFRSF9,TNFSF11,TNFSF12,TNFSF13,TNFSF13B,TNFSF14,TNFSF15,TNFSF18,TNFSF4,TNIP2,TPR,TRADD,TRAF2,TRAF3,TRAF6,TRAFD1,TRIM21,TRIM22,TRIM25,TRIM26,TRIM31,TRIM32,TRIM34,TRIM38,TRIM5,TRIM56,TRIM6,TRIM62,TRIM63,TRIM68,TRIM8,TUBA1B,TXNDC17,TYK2,TYMS,UBA52,UBB,UBC,UBD,UBE2G2,UBE2K,UPF1,VCAM1,VLDLR,WNT5A,XAF1,XBP1,XCL1,XCL2,XCR1,YTHDC2,YY2,ZC3H12A,ZC3H15,ZFAND6,ZNF268,ZNF675	716
GO_RESPONSE_TO_DEXAMETHASONE	ABCG2,ADRB2,AGTR2,AQP1,ARG1,ASS1,CASP9,CBX3,CCL2,CPS1,CRH,DNMT3B,EDN1,EP300,ERRFI1,ESR2,FBXO32,FECH,FOXO1,HMBS,HNRNPU,IFNB1,IL1B,IL6,MSTN,NTS,PTAFR,SERPINF1,SMYD3,SRD5A1,STAR,TFAP4,TGFB1	33
GO_RESPONSE_TO_DIETARY_EXCESS	ACVR1C,ADRB1,ADRB2,ADRB3,APOE,BMP8A,CCKAR,CLIC5,GDF3,LEP,MC4R,NMUR2,OMA1,PCSK1N,PPARGC1A,PRLH,RMI1,SLC25A25,TBL1XR1,TRPV4,VGF	21
GO_RESPONSE_TO_DRUG	AACS,ABAT,ABCA1,ABCA2,ABCA3,ABCA8,ABCB1,ABCB4,ABCB5,ABCC1,ABCC2,ABCC6,ABCC8,ABCD3,ABCG2,ABCG5,ABCG8,ABP1,ACER2,ACSL1,ACTC1,ADA,ADAM17,ADCY1,ADCYAP1R1,ADD3,ADIPOQ,ADRA1A,ADSSL1,AGER,AGPAT2,AIM2,AK4,ALAD,ALDH3A1,ALDOB,AMH,ANKRD1,ANXA1,APC,APEX1,APOA1,APOA2,APOBEC1,APOC3,APOD,AQP1,ARG1,ARRB1,ASS1,ATG5,ATP1A1,ATP1A3,ATP8B1,ATR,B2M,BAD,BAK1,BAX,BCAR3,BCHE,BCL2,BDH1,BDKRB2,BECN1,BGLAP,BLMH,BLOC1S3,BRAF,CA9,CAD,CALR,CARD9,CASP3,CAT,CAV1,CBX7,CCL2,CCL5,CCNB1,CCND1,CCNE1,CCNO,CD38,CD69,CD86,CDH1,CDH3,CDK1,CDK2,CDK4,CDK9,CDKN1A,CDKN1B,CENPF,CERS1,CHAT,CHEK2,CHRNA3,CHUK,COL18A1,COL1A1,COMT,COQ7,CPB2,CPS1,CPT1A,CREB1,CRH,CRHBP,CROT,CSAG3,CTNNB1,CTPS,CYBA,CYP17A1,CYP1A1,CYP1A2,CYP2A6,CYP2B6,CYP2C19,CYP2C8,CYP2C9,CYP2D7P1,CYP2E1,CYP3A4,CYP4B1,DAB1,DAD1,DDC,DDIT3,DHODH,DNMT1,DNMT3A,DNMT3B,DPEP1,DPYSL2,DRD1,DRD2,DRD3,DUSP6,DVL3,EBP,ECE1,EDN1,EEF2,EFTUD2,EIF2B5,EMX1,EMX2,ENO3,EP300,ESR2,FABP3,FAS,FBP1,FECH,FGF21,FGF8,FOS,FOSB,FOSL1,FYN,FZD1,GAD1,GAD2,GAL,GAS6,GATA3,GATA4,GATA6,GCLM,GGH,GIP,GK,GNA12,GNAO1,GNAS,GNPAT,GPLD1,GRIN2A,GRK5,GSK3B,HADH,HADHA,HDAC2,HDAC4,HDAC5,HIF1A,HMBS,HMGB2,HMGCS1,HMGCS2,HNF1B,HNF4A,HNRNPD,HSD11B2,HTR1B,HTR2A,HTR2B,HTR2C,ICAM1,IFNG,IGF2,IGFBP2,IKBKB,IL10,IL1B,IL4,IL6,INHBA,ITGA2,ITGA3,ITGB1,JUN,JUNB,JUND,KCNC1,KCNE2,KCNH2,KCNJ11,KCNK3,KCNQ1,LCK,LCT,LDHA,LGALS1,LIPC,LOX,LPL,LRP8,LTA,LTC4S,LYN,MAOB,MAP2K6,MAPK9,MAS1,MBD1,MCM7,MDK,MDM2,MEF2C,MFSD10,MGMT,MGST1,MMP12,MMP13,MT2A,MT3,MTHFR,MYC,MYO6,NAT8,NCKAP1L,NDUFA10,NEUROD1,NFATC2,NFE2L2,NKX3-1,NKX6-1,NME1,NNMT,NOS1,NOS2,NPC1,NPC1L1,NPFF,NPPC,NR1I2,NTRK1,NTS,OGG1,OTC,OXCT1,OXTR,P2RX7,PAM,PAPD7,PARK7,PARP4,PAX4,PDE2A,PDE3A,PDE4A,PDE4B,PDGFA,PDGFB,PDX1,PDZK1,PEMT,PFAS,PGF,PLIN2,PMS2,PNP,POR,PPARG,PPARGC1A,PPAT,PPM1E,PPM1F,PPOX,PPP1R12A,PPP1R14A,PPP1R15A,PPP3CA,PPP3CB,PRKAA2,PRKAR2B,PRNP,PSMB9,PTCH1,PTEN,PTGER3,PTGER4,PTGS2,PTH,PTK2B,PTN,PTPN5,PTPRM,QDPR,RAB6C,RAD51,RAD54B,RAD54L,RAP1A,RAP1BL,RAP2A,RAPGEF3,RBM22,RELA,REN,REST,RET,RNF149,RPH3AL,RPN2,RPP21,RPS6KB1,SCGB1A1,SCN11A,SEMA3C,SFRP1,SFRP2,SLC12A5,SLC15A2,SLC17A3,SLC18A1,SLC18A2,SLC19A1,SLC1A2,SLC1A3,SLC22A1,SLC22A12,SLC22A18,SLC22A2,SLC22A3,SLC22A5,SLC26A5,SLC31A1,SLC34A1,SLC46A1,SLC47A1,SLC47A2,SLC6A11,SLC6A3,SLC6A4,SLC8A1,SLC9A1,SMPD1,SNCA,SNX27,SOCS1,SOCS3,SOD1,SORD,SRC,SRD5A1,SRD5A2,SREBF1,SRP14,SRP19,SRP54,SRP68,SRP72,SRR,SS18,SST,STAR,STAT3,TBXA2R,TERF1,TFAP2B,TFRC,TGFB1,TGFB2,TGFBR2,TGIF1,TH,THBS1,THRA,TIMP2,TIMP4,TLR3,TMEM30A,TNFRSF11B,TOP1,TP53,TP73,TRPA1,TSPO,TXN2,TXNIP,TYMS,UBE2B,UGT1A1,UMPS,UQCRFS1,USP47,UTS2,UTS2R,VAV3,VEGFB,VEGFC,VLDLR,WFDC1,XPC,XPO1,XRCC1	431
GO_RESPONSE_TO_DSRNA	ADAR,CARD9,CAV1,COLEC12,DDX1,DDX21,DDX58,DGCR8,DHX36,DICER1,DROSHA,EIF2AK2,EIF2C1,EIF2C2,EIF2C3,EIF2C4,FLOT1,HNRNPA2B1,IFIT1,IFNA1,IFNA10,IFNA13,IFNA14,IFNA16,IFNA17,IFNA2,IFNA21,IFNA4,IFNA5,IFNA6,IFNA7,IFNA8,IFNB1,IFNE,IFNK,IFNW1,IRAK3,IRF3,KCNJ8,LIN28A,LIN28B,MAPK1,MAPK3,MAVS,MB21D1,METTL3,MRPL44,MUL1,NFKB1,NFKBIA,NPM1,P2RX7,PELI1,PMAIP1,PRKRA,RALB,RFTN1,RFTN2,RIPK2,SLC3A2,SMAD1,SMAD2,SMAD3,SNIP1,SRRT,TARBP2,TERT,TICAM1,TLR3,TMEM173,ZC3HAV1,ZCCHC11	72
GO_RESPONSE_TO_ELECTRICAL_STIMULUS	ADSS,ADSSL1,AIF1,AKAP5,BRD1,BTG2,CD14,CDK2,DCX,DISC1,EEF1A2,EPO,GJB6,GNAT1,GRM1,HIF1A,HNRNPD,HPCA,IGF1,IL6,KCNJ3,MSTN,MYOG,NELF,NEUROD2,NRF1,NTRK1,OXT,P2RX7,PALM,PPARGC1A,PSMB9,RAB3A,REST,RPE65,RPS6KB1,S100A13,SLC9A1,SRC,TACR1,TACR2,TH,TRIM63	43
